,1,2,3,4,5,6,7,8
176,172,179,6,8,171,180,178,177
177,172,179,6,8,171,180,178,177
178,172,180,6,7,171,180,178,177
179,172,180,6,7,171,180,178,177
180,173,180,5,7,171,180,178,177
181,173,180,5,7,171,180,178,177
182,173,180,5,7,171,180,178,177
183,173,180,5,7,171,180,178,177
184,173,180,5,7,171,180,178,177
185,173,180,5,7,171,180,178,177
186,173,180,5,7,172,180,179,177
187,173,180,5,7,172,180,179,177
188,173,180,5,8,173,180,179,177
189,173,180,4,8,174,178,179,177
190,173,180,4,8,174,178,179,178
191,174,180,4,8,175,177,180,178
192,175,180,3,8,176,176,180,179
193,175,180,3,8,177,175,180,180
194,175,179,3,8,178,173,180,180
195,174,178,2,8,180,171,179,179
196,175,178,1,9,178,170,179,179
197,175,177,1,9,177,168,178,177
198,175,178,1,10,176,167,179,177
199,175,178,2,11,173,164,179,176
200,176,177,4,12,170,162,177,175
201,177,176,6,13,167,158,176,173
202,177,177,8,15,163,154,174,172
203,180,178,9,17,160,149,172,170
204,179,177,10,18,156,146,170,169
205,178,177,10,19,154,142,169,166
206,178,176,11,21,149,140,166,166
207,175,176,13,22,147,138,167,167
208,172,174,13,24,146,136,168,167
209,170,174,15,25,146,132,170,164
210,170,174,16,28,143,127,170,162
211,171,174,19,31,139,124,168,160
212,171,174,21,32,138,122,169,161
213,172,174,23,34,136,119,170,160
214,173,174,24,35,133,115,169,157
215,173,174,26,38,130,112,166,154
216,173,174,30,40,127,110,166,154
217,173,173,31,42,124,106,165,154
218,172,174,33,43,118,104,159,153
219,170,174,35,45,112,101,156,151
220,169,175,37,47,107,100,152,149
221,169,175,37,48,108,99,155,147
222,169,176,38,49,107,98,156,146
223,170,176,38,50,106,97,155,148
224,170,176,38,50,107,97,155,146
225,169,176,38,50,108,96,154,148
226,169,176,37,48,109,100,156,146
227,168,176,33,45,115,104,157,151
228,171,176,29,41,124,108,160,154
229,172,176,24,35,134,114,166,153
230,172,176,20,31,140,120,167,155
231,175,176,18,27,143,126,166,157
232,175,175,14,24,147,135,164,165
233,175,176,12,20,153,140,167,166
234,176,176,9,17,158,146,168,167
235,176,177,6,13,165,154,170,169
236,175,176,2,10,172,159,173,169
237,174,177,2,8,178,166,175,172
238,173,178,5,6,178,173,178,176
239,172,179,6,6,174,177,180,179
240,171,179,7,6,172,180,179,179
241,171,178,7,6,172,180,180,178
242,171,178,7,6,171,180,179,178
243,171,178,7,6,170,179,179,177
244,171,178,7,6,170,179,179,176
245,171,177,6,6,170,179,179,177
246,171,177,6,6,170,179,179,177
247,171,178,6,6,170,179,179,177
248,171,178,6,6,170,179,179,177
249,171,179,6,7,170,180,179,176
250,171,179,6,7,171,180,179,176
251,171,179,6,6,171,179,179,176
252,171,179,6,6,171,179,179,176
253,171,179,6,6,171,179,179,176
254,171,179,6,6,171,179,179,176
255,171,180,6,7,171,179,180,176
256,171,180,6,7,171,179,180,176
257,171,180,6,7,171,179,180,176
258,171,180,6,7,171,179,179,176
259,172,180,6,7,171,179,179,176
260,172,180,6,7,171,179,179,176
261,172,180,6,6,171,179,179,176
262,173,180,6,7,173,180,180,176
263,172,179,5,7,174,179,180,177
264,173,178,5,7,176,178,180,178
265,173,178,4,7,178,175,179,179
266,174,177,3,8,180,173,179,180
267,175,177,2,8,179,170,179,179
268,175,177,2,9,177,167,178,177
269,174,177,1,10,175,165,179,176
270,174,176,1,11,173,163,178,175
271,176,176,3,12,170,160,177,174
272,176,176,4,13,167,156,175,172
273,177,178,6,16,162,152,171,170
274,177,179,7,17,161,149,172,168
275,178,179,8,19,159,147,170,167
276,178,178,9,20,156,143,169,165
277,177,177,11,22,150,139,164,164
278,175,176,12,23,150,138,167,164
279,173,176,13,24,148,136,167,164
280,171,175,14,26,147,131,169,161
281,171,175,16,28,145,128,171,159
282,172,175,19,31,142,124,171,158
283,172,175,22,33,139,120,169,157
284,174,175,23,36,137,116,169,157
285,174,175,26,38,133,114,168,155
286,174,175,29,40,128,111,165,153
287,175,174,32,41,126,109,167,152
288,174,174,34,43,123,106,166,150
289,172,174,35,45,114,104,155,147
290,170,176,37,47,110,101,152,144
291,169,177,38,49,109,100,152,139
292,168,177,38,49,109,100,152,142
293,168,177,38,49,109,101,153,142
294,168,178,36,48,113,104,155,143
295,171,178,32,44,118,106,156,146
296,174,177,28,40,126,111,159,151
297,175,178,23,36,137,117,169,153
298,176,178,18,31,143,122,167,153
299,176,177,14,25,147,130,165,157
300,176,177,11,21,153,137,166,159
301,176,177,8,17,160,147,169,166
302,176,177,5,12,169,157,173,169
303,176,176,1,9,177,164,176,171
304,174,178,3,7,178,172,180,176
305,173,179,5,7,174,177,180,179
306,173,179,6,7,172,179,180,179
307,173,179,6,7,171,180,180,178
308,173,179,5,7,171,180,180,178
309,173,178,5,6,171,180,179,178
310,173,178,6,6,171,179,179,178
311,173,177,6,6,170,179,179,178
312,172,176,6,6,171,180,180,178
313,172,176,6,6,171,180,180,178
314,172,177,5,6,171,180,180,178
315,172,178,5,7,171,180,180,178
316,172,179,5,7,172,180,180,178
317,172,179,5,7,172,180,180,178
318,172,178,6,7,172,180,180,178
319,172,178,6,6,172,180,180,178
320,172,178,6,6,171,180,180,178
321,172,178,6,6,171,180,180,177
322,172,179,6,7,171,180,179,177
323,172,180,6,7,171,180,179,177
324,171,180,6,7,171,180,179,177
325,172,180,5,7,172,180,179,177
326,171,180,5,7,173,180,180,177
327,171,179,5,7,175,178,180,178
328,171,179,5,7,176,176,180,179
329,172,178,4,7,178,174,179,180
330,174,179,3,8,180,172,178,178
331,175,178,2,8,178,169,177,176
332,174,178,2,9,177,166,177,174
333,174,177,1,10,175,163,178,173
334,175,177,2,12,172,160,177,172
335,176,177,4,13,168,156,175,170
336,177,177,6,16,163,152,171,168
337,177,178,7,17,161,149,170,166
338,179,178,8,18,158,147,169,166
339,179,177,10,19,155,142,168,163
340,178,176,11,21,151,139,165,163
341,176,176,12,22,151,138,168,165
342,173,175,13,24,148,134,168,163
343,171,175,14,26,146,130,169,160
344,172,175,17,29,144,125,170,158
345,172,175,19,32,141,122,168,158
346,172,174,22,34,138,118,168,157
347,173,175,25,36,134,116,168,156
348,174,174,27,39,129,112,164,154
349,174,174,30,40,128,110,165,154
350,174,174,31,41,127,109,166,153
351,174,174,32,42,121,107,160,151
352,172,174,33,43,117,105,156,149
353,172,174,34,44,116,104,154,149
354,173,174,33,44,117,105,155,150
355,173,174,31,43,124,106,162,151
356,174,175,28,40,128,110,162,151
357,173,177,23,36,136,114,168,151
358,176,176,18,31,143,120,168,152
359,176,176,15,27,146,128,166,157
360,178,176,13,22,151,135,167,159
361,180,177,10,19,157,142,167,162
362,180,178,7,15,164,150,170,166
363,179,176,4,11,170,156,173,168
364,176,178,1,9,177,164,176,171
365,174,179,4,7,178,172,179,177
366,173,179,5,7,175,176,180,180
367,173,179,6,6,173,180,179,177
368,173,178,6,6,172,180,179,177
369,173,179,6,7,172,180,179,177
370,172,179,6,6,172,180,179,177
371,172,179,5,7,172,180,179,177
372,173,178,5,7,172,180,180,177
373,173,178,5,6,172,180,179,177
374,173,178,5,6,172,180,179,177
375,173,178,5,6,171,180,179,177
376,173,178,5,6,171,180,179,177
377,173,178,5,6,171,180,179,177
378,173,179,5,7,171,180,178,177
379,173,179,5,7,172,180,178,177
380,173,179,5,6,172,180,178,176
381,173,179,5,6,172,180,179,176
382,173,180,5,7,172,180,179,177
383,172,180,5,7,173,179,180,177
384,172,180,5,7,175,178,180,178
385,172,179,4,7,176,175,180,179
386,173,178,4,7,179,172,180,179
387,174,177,3,7,179,169,179,177
388,175,177,2,8,177,166,177,175
389,174,177,1,9,176,165,178,175
390,175,176,1,10,174,164,177,175
391,175,176,1,11,171,161,177,174
392,176,176,3,12,169,159,175,174
393,177,176,5,14,166,156,173,172
394,179,178,6,16,161,152,168,171
395,179,178,7,18,161,148,172,168
396,178,178,8,19,158,144,170,165
397,178,177,10,21,153,139,167,162
398,175,176,12,23,150,138,166,164
399,173,175,13,25,148,135,167,165
400,172,175,15,27,146,130,168,160
401,171,176,17,29,145,126,170,159
402,172,175,19,32,140,122,166,158
403,172,175,21,34,138,119,166,157
404,172,175,23,36,135,116,166,156
405,173,175,26,39,130,113,164,155
406,173,174,29,40,126,111,162,154
407,174,174,31,42,126,108,165,154
408,173,174,34,43,119,106,161,151
409,171,174,35,45,112,103,153,150
410,170,175,38,48,108,101,151,148
411,170,176,39,50,108,100,153,144
412,169,177,38,51,109,100,154,143
413,168,177,38,50,110,101,154,144
414,170,177,35,47,114,105,156,145
415,172,177,30,43,123,108,158,152
416,173,177,26,39,129,112,161,153
417,174,177,21,33,140,117,169,152
418,176,176,17,29,144,124,166,155
419,175,176,14,25,147,131,164,160
420,176,176,12,21,153,139,166,163
421,178,177,9,17,159,147,168,167
422,179,176,6,13,167,155,172,169
423,178,175,3,10,173,161,175,171
424,176,176,2,8,179,167,177,173
425,175,177,4,6,176,175,180,178
426,174,178,5,5,174,178,180,180
427,173,179,6,6,173,180,180,177
428,173,179,6,6,173,180,180,177
429,173,179,5,6,172,180,180,177
430,172,178,6,6,172,180,180,177
431,172,178,6,6,172,180,180,177
432,172,178,6,6,172,180,180,177
433,172,179,6,7,172,180,180,177
434,173,179,6,7,172,180,180,177
435,173,178,6,7,173,180,180,177
436,173,178,6,6,173,180,180,177
437,173,179,6,7,173,180,180,177
438,173,178,6,6,172,180,180,177
439,174,179,6,6,172,180,180,177
440,174,179,6,7,172,180,180,177
441,174,179,6,6,172,180,180,177
442,173,179,6,6,172,180,180,176
443,173,179,6,6,173,179,180,177
444,172,178,5,6,175,178,180,178
445,173,179,5,7,177,176,180,178
446,172,179,4,7,179,174,180,179
447,173,178,3,8,179,171,178,180
448,174,177,1,8,177,168,177,178
449,175,176,1,9,174,166,177,177
450,176,176,3,11,172,163,176,176
451,175,177,4,12,169,160,174,173
452,177,177,6,14,165,155,172,170
453,180,179,8,17,161,151,169,169
454,180,178,9,18,158,149,167,169
455,180,178,10,20,155,146,166,168
456,180,178,11,21,151,140,163,163
457,177,177,13,22,149,139,163,164
458,174,176,14,24,147,137,163,166
459,172,175,16,26,146,132,166,162
460,172,175,19,28,143,125,167,156
461,173,174,20,31,140,119,166,152
462,173,174,23,34,137,116,166,152
463,174,174,25,36,134,113,165,152
464,174,174,27,38,132,111,167,151
