,1,2,3,4,5,6,7,8
176,172,171,11,18,106,110,115,116
177,171,178,10,14,108,112,117,118
178,171,179,8,13,108,111,117,117
179,173,179,6,13,108,111,117,117
180,174,179,6,13,109,111,118,117
181,175,179,6,12,109,111,118,118
182,176,179,6,12,110,112,120,118
183,176,179,6,12,110,112,120,118
184,175,179,6,12,110,112,120,118
185,174,179,6,12,110,112,120,118
186,176,179,5,12,110,112,121,119
187,175,178,6,12,110,112,121,119
188,171,176,8,14,109,110,119,117
189,171,173,9,16,107,108,117,114
190,172,169,9,19,105,106,115,112
191,172,163,9,22,100,102,109,107
192,173,158,7,25,93,96,103,102
193,173,154,7,27,89,92,98,100
194,172,150,8,30,86,89,94,96
195,172,145,8,34,79,84,88,92
196,170,140,7,37,73,81,83,88
197,170,136,9,40,70,78,80,85
198,155,133,16,43,67,75,77,82
199,151,130,19,45,64,73,73,81
200,159,126,14,47,63,73,72,83
201,167,124,10,49,60,71,70,81
202,165,120,11,53,57,66,68,78
203,165,116,11,56,54,64,66,76
204,164,114,15,58,52,60,63,73
205,164,112,14,60,50,57,61,70
206,160,107,15,64,49,55,61,68
207,156,103,19,67,48,52,60,65
208,151,102,22,68,48,51,61,64
209,156,100,21,70,48,51,61,64
210,155,99,24,71,48,50,60,64
211,156,99,23,71,47,50,60,64
212,158,102,19,67,47,51,60,65
213,155,110,19,60,52,56,64,68
214,152,121,18,51,61,66,70,75
215,156,137,15,40,72,79,81,87
216,160,147,13,34,84,94,92,101
217,164,165,15,24,96,104,103,109
218,168,175,12,19,102,108,109,111
219,171,179,10,16,106,111,112,114
220,173,179,9,15,107,111,114,115
221,173,179,8,14,107,111,115,116
222,173,180,8,13,108,111,116,116
223,175,180,8,13,109,111,117,117
224,175,180,7,13,109,111,117,117
225,173,179,7,13,109,112,118,118
226,173,179,7,13,109,112,119,119
227,173,178,7,13,109,111,119,119
228,174,178,6,13,109,111,119,119
229,172,177,7,13,108,111,118,119
230,172,175,7,15,107,110,118,117
231,171,173,8,16,105,108,115,115
232,171,169,9,19,102,104,112,111
233,170,165,10,21,99,101,108,108
234,169,159,11,24,94,96,103,103
235,167,154,12,28,88,92,96,99
236,168,149,11,30,84,88,92,95
237,172,141,8,36,74,81,84,88
238,169,136,9,39,70,76,80,84
239,159,131,15,43,66,73,76,82
240,165,126,14,47,64,74,74,88
241,164,121,14,50,61,69,71,82
242,164,118,14,53,57,64,68,76
243,164,115,14,55,53,61,65,73
244,164,113,14,58,52,59,64,71
245,162,110,15,59,52,58,63,70
246,160,108,16,61,51,57,63,69
247,159,106,17,62,50,55,62,67
248,158,105,18,63,50,54,62,67
249,156,105,19,64,50,54,63,66
250,159,106,18,63,50,54,63,66
251,158,108,18,61,52,55,64,66
252,159,116,15,54,58,61,69,71
253,155,124,16,49,65,67,74,76
254,155,135,16,41,72,76,81,84
255,155,149,17,32,84,91,92,98
256,161,158,16,26,92,99,100,105
257,167,172,13,19,103,108,111,113
258,172,178,8,14,106,110,115,117
259,173,179,6,12,106,111,116,118
260,173,179,6,12,107,111,117,118
261,174,179,6,11,109,113,119,121
262,174,179,5,11,109,114,120,123
263,174,179,5,11,110,115,121,123
264,175,179,5,11,110,115,122,123
265,175,179,5,11,111,115,122,124
266,175,179,5,11,111,115,122,123
267,175,178,6,12,111,115,121,123
268,171,176,8,13,110,113,120,121
269,173,172,7,15,109,111,119,119
270,173,170,8,17,107,108,117,115
271,172,167,9,19,105,106,115,114
272,171,161,9,22,100,103,110,111
273,172,157,9,25,93,98,103,106
274,175,153,7,28,87,92,96,101
275,173,147,8,32,81,87,90,96
276,172,142,7,35,78,85,88,93
277,172,137,8,38,72,80,83,90
278,171,133,9,41,69,77,80,87
279,169,129,10,45,65,74,76,85
280,166,124,12,49,61,70,71,81
281,166,122,11,51,58,67,70,78
282,164,118,13,54,56,64,68,76
283,164,116,13,55,54,62,66,75
284,162,113,15,57,54,61,66,74
285,163,111,15,60,51,59,63,72
286,164,109,14,61,49,57,61,70
287,161,105,16,64,49,56,61,69
288,160,102,19,67,48,55,60,68
289,160,101,20,68,48,53,60,66
290,159,101,20,68,48,53,60,66
291,160,101,19,68,48,53,60,66
292,162,101,18,68,48,53,59,66
293,150,105,25,64,51,55,61,67
294,144,113,23,57,56,61,66,72
295,154,122,18,49,68,72,77,82
296,159,133,15,41,75,80,83,89
297,162,143,15,35,81,90,89,98
298,160,156,16,27,93,101,101,108
299,164,167,14,21,100,104,108,110
300,171,177,10,15,107,112,115,117
301,174,178,7,14,108,112,117,118
302,173,179,6,13,109,113,118,119
303,173,179,6,12,110,113,119,120
304,175,179,5,12,111,114,120,122
305,175,179,5,12,112,115,121,122
306,175,179,5,12,112,115,121,122
307,175,179,5,12,112,115,121,122
308,175,179,5,13,112,115,121,122
309,175,178,5,13,111,115,121,121
310,175,178,7,13,111,114,121,121
311,173,175,8,15,108,111,117,118
312,171,170,10,17,106,108,116,115
313,170,167,11,20,103,105,113,111
314,169,162,11,23,98,101,107,107
315,167,154,13,27,90,93,98,100
316,167,149,14,30,85,88,93,95
317,168,143,12,34,80,85,89,91
318,169,138,11,37,75,81,84,88
319,163,135,13,39,71,78,80,86
320,162,129,16,43,66,74,76,82
321,161,126,17,46,63,72,73,81
322,163,120,16,50,60,68,70,78
323,165,118,13,52,58,66,69,77
324,165,116,14,54,55,63,65,75
325,165,111,14,58,51,60,63,72
326,161,107,18,61,50,58,61,70
327,159,103,19,65,49,54,60,66
328,155,100,21,68,48,53,59,65
329,158,97,20,71,46,52,57,63
330,157,96,20,71,45,51,57,63
331,159,97,18,70,45,50,57,62
332,162,97,15,69,45,50,57,62
333,149,102,20,66,48,53,60,64
334,140,109,23,58,53,58,63,68
335,149,122,18,48,65,70,75,79
336,156,133,16,42,71,78,80,86
337,157,143,16,35,80,90,88,97
338,164,157,15,26,92,100,99,105
339,166,167,14,21,98,102,104,106
340,170,177,12,16,103,108,111,112
341,172,178,10,15,106,109,114,114
342,172,178,10,14,108,111,116,115
343,173,178,8,14,108,111,117,115
344,174,177,7,13,108,110,117,116
345,173,177,7,13,109,111,118,117
346,172,177,6,13,109,112,119,119
347,173,177,6,13,110,113,119,120
348,173,177,6,13,110,113,120,120
349,174,177,6,13,110,113,120,120
350,173,177,6,14,109,113,119,120
351,173,176,6,14,109,112,119,119
352,173,173,8,16,106,109,115,115
353,172,169,9,18,104,106,114,113
354,171,166,9,20,102,103,112,110
355,168,158,11,25,96,98,105,105
356,168,153,12,28,90,92,98,99
357,170,147,10,32,82,87,90,93
358,171,139,9,36,75,81,84,88
359,170,136,10,39,70,78,80,85
360,158,130,15,43,65,74,76,81
361,167,126,12,46,64,73,74,81
362,168,122,11,49,62,70,71,79
363,168,118,11,52,58,66,69,76
364,168,117,10,53,57,64,68,76
365,168,115,12,55,52,61,63,73
366,165,112,14,58,51,59,62,71
367,164,107,13,61,49,57,60,69
368,163,105,14,64,48,55,59,67
369,163,104,16,64,48,55,60,67
370,159,104,19,64,48,54,60,66
371,156,104,20,64,49,55,60,67
372,154,110,22,59,54,59,65,71
373,153,121,18,50,64,70,75,80
374,156,132,15,42,74,80,84,89
375,159,144,15,34,82,92,91,101
376,165,161,15,24,94,102,102,109
377,166,169,14,21,101,106,108,110
378,170,177,11,16,107,112,115,117
379,171,177,9,15,109,112,117,118
380,173,177,8,14,109,112,118,119
381,174,177,8,13,109,111,119,119
382,174,177,8,13,110,112,120,120
383,174,177,8,13,109,112,119,120
384,174,177,8,13,109,112,119,119
385,174,176,8,14,109,112,119,119
386,173,175,9,15,107,111,116,118
387,173,172,9,17,105,108,114,114
388,173,168,9,20,101,104,110,109
389,173,163,9,23,96,100,105,106
390,173,159,9,25,92,95,99,102
391,172,151,10,30,83,88,90,94
392,169,144,10,35,77,83,85,89
393,168,135,11,41,71,78,79,83
394,158,131,16,44,67,73,74,79
395,158,127,17,48,63,70,70,76
396,160,121,16,52,59,66,66,73
397,166,117,12,55,55,62,62,70
398,162,110,15,61,51,58,59,68
399,156,105,19,65,50,56,59,66
400,155,100,21,69,49,54,58,65
401,150,97,25,71,48,52,58,63
402,149,96,26,72,48,51,58,63
403,151,95,24,72,47,50,57,62
404,150,94,25,73,47,49,57,61
405,154,94,22,73,46,49,57,62
406,154,94,20,73,46,49,56,62
407,156,95,19,72,46,50,57,62
408,148,108,24,60,53,56,63,67
409,152,117,21,53,59,64,69,73
